카테고리,세부,브랜드,제품명,태그,용량/가격,별점,리뷰수,이미지,제품링크
페이스오일,페이스오일,에센허브,티트리 100 오일,"#비건뷰티, #스팟케어, #저자극, #클린뷰티, #트러블케어, #피부진정","10ml / 38,000원",4.28,리뷰 329,https://dn5hzapyfrpio.cloudfront.net/product/7a7/7a78e430-8848-11ee-b8de-2f3162f7df2c.jpeg,https://www.glowpick.com/products/118962
페이스오일,페이스오일,바이오오일,스킨케어 오일,"#보습, #비타민함유, #윤기부여, #저자극, #피부유연, #피부진정","60ml / 16,500원",4.25,리뷰 246,https://dn5hzapyfrpio.cloudfront.net/product/ff4/ff4029d0-a7e1-11ef-af8e-d75e1687b26a.jpeg,https://www.glowpick.com/products/123332
페이스오일,페이스오일,케어놀로지,리블루 나이트 페이셜 오일,"#보습, #저자극, #피부결정돈, #피부진정","50ml / 89,000원",4.36,리뷰 73,https://dn5hzapyfrpio.cloudfront.net/product/463/46323660-d476-11ef-996e-65f1f4528fa6.jpeg,https://www.glowpick.com/products/85520
페이스오일,페이스오일,허블룸,비건 뷰티 오일,"#미백, #보습, #비건뷰티, #수분공급, #영양공급, #유기농화장품, #저자극, #친환경, #크루얼티프리, #클린뷰티, #피부진정, #피부탄력","30ml / 36,000원",4.19,리뷰 144,https://dn5hzapyfrpio.cloudfront.net/product/cd9/cd93c5b0-41c1-11ec-9f05-7bbbf430fcb7.jpeg,https://www.glowpick.com/products/144678
페이스오일,페이스오일,네오젠,화이트 트러플 세럼 인 오일 드롭,"#보습, #수분공급, #유수분조절","50ml / 28,000원",4.18,리뷰 325,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20171107/1510031853850.png,https://www.glowpick.com/products/80445
페이스오일,페이스오일,시드물,냉압착 비정제 호호바 오일,"#보습, #비타민함유, #수분공급, #영양공급, #저자극, #피부활력","100ml / 16,300원",4.19,리뷰 377,https://dn5hzapyfrpio.cloudfront.net/product/1a7/1a7f2740-4107-11ec-a13c-ddaf58699e59.jpeg,https://www.glowpick.com/products/24667
페이스오일,페이스오일,로벡틴,스킨 이센셜즈 배리어 리페어 페이스 오일,"#비건뷰티, #영양공급, #저자극, #크루얼티프리, #클린뷰티, #피부재생, #피부활력","30ml / 39,000원",4.19,리뷰 417,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200421/1587432212984.jpg,https://www.glowpick.com/products/78017
페이스오일,페이스오일,아로마티카,티트리 그린 오일,"#비건뷰티, #수분공급, #유수분조절, #제로웨이스트, #친환경, #크루얼티프리, #클린뷰티, #피부진정","30ml / 25,000원",4.43,리뷰 54,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200610/1591756711087.jpg,https://www.glowpick.com/products/136410
페이스오일,페이스오일,비오템,아쿠아수르스 매직 젤 오일,"#수분공급, #영양공급, #윤기부여","50ml / 68,000원",4.21,리뷰 105,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20170105/1483596601562.png,https://www.glowpick.com/products/11364
페이스오일,페이스오일,쥴라이,슈퍼 12 바운스 씬 오일,"#보습, #수분공급, #유수분조절, #저자극, #피부탄력","30ml / 43,000원",4.14,리뷰 83,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20170526/1495780819796.png,https://www.glowpick.com/products/91829
멀티밤,멀티밤,바비브라운,웨이트리스 스킨 파운데이션 [SPF15/PA++],"#기능성, #밀착력, #세미매트, #수분공급, #자외선차단, #지속력","30ml / 89,000원",4.59,리뷰 155,https://dn5hzapyfrpio.cloudfront.net/product/067/067ffeb0-4b16-11ef-bf0c-3f023619a3ee.jpeg,https://www.glowpick.com/products/174371
멀티밤,멀티밤,헤라,실키 스테이 24H 롱웨어 파운데이션 [SPF20/PA++],"#기능성, #윤기, #자외선차단, #지속력, #쿨링","30g / 70,000원",4.42,"리뷰 1,448",https://dn5hzapyfrpio.cloudfront.net/product/1f8/1f8f1010-143f-11f0-8b39-6dcb701297c1.jpeg,https://www.glowpick.com/products/155890
멀티밤,멀티밤,티르티르,마스크 핏 AI 필터 쿠션 [SPF30/PA++],"#기능성, #미백, #자외선차단, #주름개선, #지속력, #커버력","18g / 29,000원",4.52,리뷰 184,https://dn5hzapyfrpio.cloudfront.net/product/493/49394b70-ff21-11ef-b2de-3dea9eb72d12.png,https://www.glowpick.com/products/177886
멀티밤,멀티밤,VDL,커버 스테인 퍼펙팅 파운데이션 [SPF35/PA++],"#기능성, #밀착력, #보습, #비건뷰티, #수분공급, #자외선차단, #주름개선, #클린뷰티","30ml / 30,000원",4.45,리뷰 770,https://dn5hzapyfrpio.cloudfront.net/product/f63/f63d8240-785a-11ee-9c0c-8f13c8545ead.jpeg,https://www.glowpick.com/products/162004
멀티밤,멀티밤,시세이도,리바이탈에센스 스킨 글로우 파운데이션 [SPF30/PA+++],"#글로우, #기능성, #미백, #자외선차단, #주름개선, #지속력","30ml / 85,000원",4.5,리뷰 114,https://dn5hzapyfrpio.cloudfront.net/product/a38/a380ef90-68cb-11ee-b6f2-59230485b996.jpeg,https://www.glowpick.com/products/168444
멀티밤,멀티밤,어바웃톤,스킨 레이어 핏 파운데이션 [SPF30/PA++],"#기능성, #미백, #밀착력, #세미매트, #자외선차단, #저자극, #주름개선, #커버력","30ml / 28,000원",4.5,리뷰 213,https://dn5hzapyfrpio.cloudfront.net/product/3bd/3bd7d7e0-7c94-11ef-b89f-dff025ced156.jpeg,https://www.glowpick.com/products/175734
멀티밤,멀티밤,CNP,프로폴리스 앰플 인 커버 쿠션 [SPF50+/PA+++],"#광채, #기능성, #미백, #밀착력, #수분공급, #자외선차단, #주름개선, #지속력, #커버력, #피부탄력","15g / 42,000원",4.51,리뷰 178,https://dn5hzapyfrpio.cloudfront.net/product/f11/f1191960-006b-11f0-8cff-23bf87154c10.jpeg,https://www.glowpick.com/products/179431
멀티밤,멀티밤,프릴루드 딘토,운초 블러 매트 리퀴드 파운데이션 [SPF50+/PA++++],"#기능성, #미백, #밀착력, #세미매트, #자외선차단, #주름개선, #커버력","25ml / 5,000원",4.45,리뷰 130,https://dn5hzapyfrpio.cloudfront.net/product/02f/02fb7530-d3b5-11ef-8866-c3c87c65ac11.jpeg,https://www.glowpick.com/products/178141
멀티밤,멀티밤,자트인사이트,클라우드 그램 쿠션 [SPF50+/PA++++],"#기능성, #밀착력, #수분공급, #자외선차단, #지속력","15g / 37,000원",4.45,리뷰 117,https://dn5hzapyfrpio.cloudfront.net/product/282/282dd2b0-8417-11ee-acf3-632f24ff06ea.jpeg,https://www.glowpick.com/products/169239
멀티밤,멀티밤,지베르니,고밀착 시그니처 쿠션 [SPF50/PA+++],"#기능성, #매트, #미백, #보습, #비건뷰티, #새틴, #자외선차단, #주름개선, #지속력, #커버력, #클린뷰티","15g / 45,000원",4.45,리뷰 268,https://dn5hzapyfrpio.cloudfront.net/product/ae7/ae7853f0-37f5-11ed-888f-7defdd541164.jpeg,https://www.glowpick.com/products/159446
멀티밤,멀티밤,입생로랑 뷰티,뚜쉬 에끌라 글로우 팩트 쿠션,"#글로우, #보습, #커버력","12g / 108,000원",4.45,리뷰 599,https://dn5hzapyfrpio.cloudfront.net/product/d1c/d1c3e1a0-ea1d-11ed-a559-e50cbf426b26.png,https://www.glowpick.com/products/154953
멀티밤,멀티밤,이든 미네랄,프레스드 파우더 팩트,"#보습, #비건뷰티, #저자극, #친환경, #크루얼티프리, #클린뷰티","7.7g / 48,000원",4.43,리뷰 95,https://dn5hzapyfrpio.cloudfront.net/product/4d9/4d95bba0-29fc-11ee-9b26-39eb4dba71e1.png,https://www.glowpick.com/products/154126
멀티밤,멀티밤,에스투엔디,제로핏 매트 쿠션 [SPF50+/PA+++],"#기능성, #매트, #미백, #보습, #수분공급, #자외선차단, #저자극, #주름개선, #커버력","12g / 25,000원",4.39,리뷰 239,https://dn5hzapyfrpio.cloudfront.net/product/6d1/6d1a0790-c2f2-11ed-a2ef-e1392827fe79.jpeg,https://www.glowpick.com/products/163670
멀티밤,멀티밤,바닐라코,커버리셔스 파워 핏 파운데이션 [SPF45/PA++],"#밀착력, #비건뷰티, #저자극, #지속력, #클린뷰티","30ml / 34,000원",4.38,리뷰 738,https://dn5hzapyfrpio.cloudfront.net/product/8b4/8b408920-17fa-11ef-8438-e5ee51c61a8b.jpeg,https://www.glowpick.com/products/163983
멀티밤,멀티밤,VDL,커버 스테인 퍼펙팅 쿠션 [SPF35/PA++],"#기능성, #미백, #밀착력, #보습, #수분공급, #자외선차단, #주름개선, #지속력, #커버력","13g / 34,000원",4.45,리뷰 249,https://dn5hzapyfrpio.cloudfront.net/product/24c/24ccab40-b5d1-11ef-b049-f93a38075b08.jpeg,https://www.glowpick.com/products/160085
멀티밤,멀티밤,파넬,시카마누 스킨 핏 파운데이션 [SPF30/PA+++],"#기능성, #밀착력, #세미매트, #수분공급, #자외선차단, #저자극, #지속력, #피부진정","30ml / 37,000원",4.41,리뷰 111,https://dn5hzapyfrpio.cloudfront.net/product/af4/af4cba80-672b-11ee-965b-3d08cf8243fd.jpeg,https://www.glowpick.com/products/168346
멀티밤,멀티밤,자빈드서울,윙크 파운데이션 [SPF50+/PA+++],"#기능성, #미백, #세미매트, #안티다크닝, #자외선차단, #주름개선, #커버력","30g / 40,000원",4.31,리뷰 797,https://dn5hzapyfrpio.cloudfront.net/product/27a/27a69750-15f6-11ec-904b-e1eb1cee1470.jpeg,https://www.glowpick.com/products/150829
멀티밤,멀티밤,홀리카홀리카,릴리피트 시카 스테이 쿠션 [SPF40/PA++],"#기능성, #미백, #밀착력, #비건뷰티, #자외선차단, #저자극, #주름개선, #지속력, #친환경, #커버력, #클린뷰티, #피부진정","14g / 34,000원",4.4,리뷰 130,https://dn5hzapyfrpio.cloudfront.net/product/525/52537370-065d-11ee-a749-e326dbd868d6.jpeg,https://www.glowpick.com/products/165899
멀티밤,멀티밤,네이밍,레이어드 핏 쿠션 [SPF50+/PA+++],"#기능성, #미백, #밀착력, #윤기부여, #자외선차단, #주름개선, #피부톤보정","12g / 28,000원",4.34,리뷰 931,https://dn5hzapyfrpio.cloudfront.net/product/26b/26b626a0-88d4-11ee-a794-29dafb7c571e.jpeg,https://www.glowpick.com/products/147199
멀티밤,멀티밤,삐아,오 글로우 쿠션 [SPF40/PA+++],"#글로우, #기능성, #미백, #보습, #비건뷰티, #자외선차단, #주름개선, #클린뷰티","15g / 30,000원",4.38,리뷰 205,https://dn5hzapyfrpio.cloudfront.net/product/683/68392390-cf81-11ee-bb3a-010114fbf4df.jpeg,https://www.glowpick.com/products/171092
